# Hour Gradient Positive Negative
0.000 0.000 0.000 0.000
1.000 0.012 0.012 0.000
2.000 0.264 0.264 0.000
3.000 0.143 0.143 0.000
4.000 -0.206 0.000 -0.206
5.000 0.379 0.379 0.000
6.000 0.540 0.540 0.000
7.000 0.397 0.397 0.000
8.000 0.487 0.487 0.000
9.000 0.124 0.124 0.000
10.000 -0.093 0.000 -0.093
11.000 -0.287 0.000 -0.287
12.000 -0.302 0.000 -0.302
13.000 0.284 0.284 0.000
14.000 0.366 0.366 0.000
15.000 -0.179 0.000 -0.179
16.000 -0.399 0.000 -0.399
17.000 -0.212 0.000 -0.212
18.000 -0.002 0.000 -0.002
19.000 -0.075 0.000 -0.075
20.000 0.090 0.090 0.000
21.000 -0.252 0.000 -0.252
22.000 -0.506 0.000 -0.506
23.000 0.000 0.000 0.000
