# Hour Historical Prediction
0.000 0.334 NaN
1.000 0.302 NaN
2.000 0.359 NaN
3.000 0.829 NaN
4.000 0.646 NaN
5.000 0.417 NaN
6.000 1.405 NaN
7.000 1.498 NaN
8.000 2.200 NaN
9.000 2.473 NaN
10.000 2.447 NaN
11.000 2.286 NaN
12.000 1.872 NaN
13.000 1.681 NaN
14.000 2.440 NaN
15.000 2.413 NaN
16.000 2.083 NaN
17.000 1.615 NaN
18.000 1.658 NaN
19.000 1.612 NaN
20.000 1.507 NaN
21.000 1.793 NaN
22.000 1.004 NaN
23.000 0.782 NaN
24 NaN 0.782
25 NaN 0.100
26 NaN 0.100
27 NaN 0.100
28 NaN 0.252
29 NaN 0.696
30 NaN 1.394
31 NaN 2.288
32 NaN 3.310
33 NaN 4.381
34 NaN 5.420
35 NaN 6.349
36 NaN 7.096
37 NaN 7.603
38 NaN 7.829
39 NaN 7.750
40 NaN 7.367
41 NaN 6.697
42 NaN 5.781
43 NaN 4.675
44 NaN 3.447
45 NaN 2.176
46 NaN 0.943
47 NaN 0.100
